Checkpoint,FID Score
20000,48.7506347705866
40000,38.88260550244064
60000,34.69574202913185
80000,34.50827976494173
100000,31.367442876320496
120000,29.57018507141501
140000,30.88078183706429
160000,30.496520224097367
180000,29.78326409355111
200000,29.19963381659329
220000,29.623822757455116
240000,29.79244886265019
260000,30.400871647341916
280000,30.323597975098863
300000,28.465775226643217
